VAR1,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,net_sales,Cluster
4173,916525579,0.8229166667,0.9436325678,0.9761904762,0.671875,0.02,0.02030029,0.0612691466,0.1497081654,0,0,0.0106666667,0.0082706526,0.0584085614,0.0399729684,0.2068965517,0.1371765343,0.0653828879,0.0633349566,0.062992126,0.048245999,0.0479452055,0.0254497244,0.0814249364,0.1219369516,0.0894308943,0.1464744838,0,0,1,0.7921957172,0,0,0.0114400333,0.0139339074,0,0,0,0,0,0,0.0213269637,0.0049654457,0,0,0.0877192982,0.069157362,0.0050750725,0.1185156957,0,0.0931909983,0.0986079853,0.0703564728,0.0722061747,0.0859212172,0.1310341751,0.1564376251,0.125375125,0,0.0988191716,0,0.1153449234,0.0446890112,0,0,0,0,0.0994997221,0.2375132837,0.3235973257,3
3767,242293850,0,0.9436325678,0.8469387755,0.71875,0.16,0.1607451535,0,0,0,0,0.0426666667,0.0752488557,0.1660295807,0.130145858,0.2068965517,0.1476764666,0.26721702,0.1651025968,0.0157480315,0.0087480617,0.0856164384,0.0388461405,0.1119592875,0.1166070848,0,0,0,0,0.0543478261,0.030072348,0.0642408027,0.1635751179,0.0100100291,0.0200809375,0.0029902262,0.0084636425,0,0,0.2380952381,0.2247389252,0,0,0,0,0.1140350877,0.0716686628,0.005023286,0,0,0.21196985,0.1129450169,0.0757417831,0.0460558442,0.0623176323,0.1120049969,0.1087998059,0,0,0.0690230077,0.1338727911,0.1899772055,0,0.4998095238,0,0.3771908764,0,0.0793175696,0.2415419766,0.4112767317,3
4836,516773223,0.5,0.9394572025,0.9319727891,0.78125,0.1,0.0607865827,0.0437636761,0.093988808,0.0769230769,0.0311500755,0.0026666667,0.0015171398,0.0877945576,0.0365940193,0.1264367816,0.0550060967,0.3179143427,0.2470221251,0.0551181102,0.0286140613,0.0102739726,0.0033187758,0.0407124682,0.0376340591,0.0569105691,0.0492616071,0,0,0.3369565217,0.1452770433,0.0526153846,0.0321281533,0.0075199152,0.0036153359,0.0115815734,0.0093796769,0,0,0.119047619,0.0206714034,0.1237106073,0.0588812925,0.067164557,0.025291452,0.0263157895,0.030406058,0.0030393291,0.104168056,0.0197006567,0.0683785343,0.0600571491,0.0461652169,0.0579189515,0.0582385518,0.079741828,0.0965643763,0.066260182,0,0.053781368,0.0321039928,0.0455290475,0.091357022,0.1430117045,0,0.0693877551,0.010939884,0.1458217528,0.2425568544,0.266428884,3
4116,847728060,0,0.9498956159,0.8486394558,0.6875,0.275,0.3091758454,0.0021881838,0.0056260906,0,0,0.0213333333,0.0239221586,0.0248755573,0.0103057949,0.0459770115,0.0296030348,0.2035738855,0.1291969938,0.0078740157,0.0153310512,0.0136986301,0.0088038543,0.0254452926,0.0268443289,0.0731707317,0.0766370365,0,0,0,0,0.1694548495,0.2404221873,0.0480366996,0.0512188573,0.0288565375,0.0425117407,0.0618263889,0.2937495912,0,0,0.0124407288,0.009708558,0.0126582278,0.0115999845,0.0350877193,0.0701618823,0.005621379,0.1247082361,0,0.1347735141,0.059694026,0.0683239525,0.0473069885,0.2184243435,0.1586508432,0.1102068045,0.0801748731,0,0,0.0745944604,0.1009740031,0.1497891803,0.2601452708,0.1121302839,0,0.0266234055,0.2523624236,0.2436833156,0.4127456849,3
4037,679888305,0,0.9561586639,0.8571428571,0.71875,0.01,0.0032714753,0.010940919,0.0098531801,0,0,0,0,0,0,0.0229885057,0.0295352933,0.0739110906,0.0388670255,0,0,0.1232876712,0.0791913625,0.4071246819,0.4464088398,0.0731707317,0.0636044906,0.1505376344,0.195786992,0,0,0,0,0,0,0,0,0.0011574074,0.0049052737,0,0,0.0213269637,0.0073925852,0,0,0.8070175439,1,0.0016357377,0.0436812271,0,0,0,0.1363352095,0.0391982478,0,0.1585640919,0.1145430287,0.0665406988,0.054582345,0,0,0,0.0665332666,0,0.1000222272,0,0,0.1563851898,0.2449521785,0.2823358369,3
2929,262886500,0,0.9561586639,0.8554421769,0.703125,0.27,0.1754025058,0,0,0,0,0.0053333333,0.0047882726,0.0778780819,0.0364025455,0.0344827586,0.043219076,0.3074871935,0.2205404267,0,0,0,0,0.010178117,0.0064348391,0.0406504065,0.0564861706,0,0,0,0,0.2213444816,0.5538288794,0,0,0,0,0,0,0,0,0.2168241307,0.3177514683,0.0253164557,0.0348193191,0.0350877193,0.0381331376,0.0032481946,0,0,0.1079053664,0.0673501709,0.1329997916,0.0534633462,0,0,0.0660440294,0.1063687896,0,0,0.1315506305,0,0.2812881851,0,0,0,0.0399573314,0.1371595331,0.2484218916,0.4636962285,3
4041,693072019,0,0.9498956159,0.8537414966,0.734375,0.105,0.1395448506,0.0087527352,0.0262651182,0,0,0,0,0.043806421,0.0210846427,0.0229885057,0.0304159328,0.4100644164,0.3223212288,0.0393700787,0.0276485561,0.0068493151,0.0069148383,0.2544529262,0.3791355216,0.1138211382,0.0404079754,0.1129032258,0.204653785,0.0434782609,0.0370747015,0.0133779264,0.0287147242,0.0114400333,0.0071731334,0,0,0.0189375,0.3120190107,0,0,0.2995656408,0.2615567043,0.0253164557,0.0218443782,0.0175438596,0.021172198,0.0066449929,0.1455485162,0,0,0.069350671,0.1404002502,0.058591118,0.0787828262,0.249219238,0.1556504336,0.0271757252,0.0760723573,0.1063687896,0.1128500824,0.0593792173,0.167588956,0,0.3888462738,0,0.0250677808,0.1523068371,0.2531296493,0.4475981105,3
3813,395601487,0,0.9540709812,0.8537414966,0.703125,0.23514,0.1881741168,0,0,0,0,0.016,0.0099158211,0.7917669888,0.4249816974,0.0344827586,0.0675382739,0.1209810844,0.0943969886,0,0,0.0342465753,0.0326071887,0,0,0,0,0,0,0.0326086957,0.0156608653,0.0050167224,0.0067370312,0,0,0.0457658397,0.0783532023,0.0083263889,0.0422725588,0,0,0,0,0.1139240506,0.1864324722,0,0,0.0040013208,0,0,0.074485478,0.077338373,0.2078382322,0.0581615037,0,0.2350405996,0,0,0,0.0599088585,0.0706048482,0,0,0.3023197929,0.1198178102,0,0.0475428538,0,0.2548320935,0.4171072688,3
4072,750957110,0,0.8246346555,0.7670068027,0.875,0.02,0.0189145559,0.0065645514,0.0459865215,0,0,0.0053333333,0.0004352975,0,0,0.4022988506,0.5207288985,0.523063103,0.388933493,0.2125984252,0.3559788174,0,0,0.1526717557,0.1749106272,0.2032520325,0.2880971775,0,0,0.0217391304,0.0162419734,0,0,0,0,0,0,0,0,0,0,0,0,0.0759493671,0.0235872807,0.2543859649,0.3678089866,0.004728639,0.3397799266,0,0.0098095788,0,0.1373537032,0.0554263421,0.1878406126,0,0.1196797865,0.1085028343,0,0.0931977326,0,0,0,0,0,0,0.0090226232,0.182476855,0.2550478215,0.3817065011,3
4027,657410502,0,0.872651357,0.7976190476,0.796875,0.255,0.2332461892,0,0,0,0,0.0026666667,0.0019140287,0.0713882417,0.0551895027,0,0,0.4576802151,0.3190439212,0,0,0.0239726027,0.0175297217,0.1119592875,0.0883977901,0.0081300813,0.0173177037,0,0,0.1956521739,0.1094807798,0.042458194,0.1028220675,0.0038133444,0.0023878479,0.0786002324,0.1076792073,0.0104166667,0.0516470819,0,0,0.0809642631,0.0469494006,0,0,0.1052631579,0.105976896,0.0045734547,0,0,0.0862665897,0.1113914842,0,0.0519616933,0,0.1805121799,0.0824792286,0.1630543515,0,0.0698010448,0.127324169,0.0592998333,0.1113033468,0.2419130435,0.1170136573,0,0,0.1270613304,0.2604505845,0.3844180279,3
