,CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,avg,Cluster
2175,446848590,0,0,0.078231293,0.71875,0.005,0.036843383,0.037199125,0.048769481,0,0,0,0,0.00648984,0.008999268,0.022988506,0.015512803,0.184777727,0.146373245,0,0,0.01369863,0.029080448,0.010178117,0.016184595,0,0,0,0,0,0,0.076923077,0.059869751,0.009533361,0.007173133,0.006834803,0.009276462,0,0,0,0,0.058947728,0.089007467,0,0,0.087719298,0.116022099,0.036843383,0.063589824,0,0,0.19979995,0.071607255,0.059048251,0,0.52404747,0.16611074,0,0,0,0.040920114,0.071255061,0.289821708,0.239666667,0,0,0,0.16692607,0.02567277,2
3216,647087840,0.729166667,0,0.164965986,0.421875,0,0,0,0,0,0,0,0,0.071388242,0.03232528,0,0,0.038376912,0.041104545,0,0,0.003424658,0.002157638,0.030534351,0.066168346,0.18699187,0.081205511,0.11827957,0.102250013,0,0,0,0,0,0,0,0,0,0,0,0,0.021326964,0.011079614,0,0,0.043859649,0.055441796,0,0,0,0,0.065243584,0,0.079838942,0,0.155527795,0.226373138,0.033242965,0.036279983,0,0,0,0.099716525,0,0,0,0,0.159533074,0.025709111,3
3932,542806294,0,0,0.018707483,0.171875,0,0,0,0,0.025641026,0.010523912,0.005333333,0.004788273,0,0,0.08045977,0.074718873,0.022741874,0.020901062,0,0,0,0,0.050890585,0.169970751,0.25203252,0.156496795,0.010752688,0.033263287,0.02173913,0.06967487,0.008779264,0.015689797,0,0,0,0,0.009259259,0.019969914,0,0,0.005331741,0.006929391,0.012658228,0.011599985,0.00877193,0.006915736,0,0,0.019967332,0.107905366,0,0.098543733,0.068507334,0,0,0.348899266,0.047531973,0.129825965,0.399799933,0.093960484,0,0.249458062,0,0.0509002,0,0.026623405,0.099499722,0.025719567,1
4022,652695693,0,0.90605428,0.738095238,0,0.04,0.013314476,0,0,0,0,0.218666667,0.048932561,0.076982484,0.03257307,0,0,0.017056406,0.013912105,0,0,0.003424658,0.000961838,0,0,0,0,0,0,0,0,0.001859532,0.003997305,0,0,0,0,0,0,0.023809524,0.020194554,0,0,0.001050633,0.000619699,0.131578947,0.015763242,0.001664309,0,0,0.026895416,0.060966177,0,0.06079954,0,0.069331668,0,0,0,0,0.113018552,0,0,0,0,0.338935574,0.017135969,0.015119511,0.025721442,0
2697,943910919,0.979166667,0,0.159863946,0,0.01,0.011214446,0.032822757,0.004437692,0,0,0,0,0,0,0.114942529,0.04748679,0.089546129,0.045566421,0,0,0,0,0.030534351,0.0280143,0,0,0.021505376,0.021731331,0.065217391,0.039050469,0.008361204,0.014851411,0.011756541,0.009724007,0,0,0,0,0.119047619,0.008344857,0.003554494,0.003520279,0,0,0.00877193,0.016188232,0.005607223,0.006557741,0,0,0,0.0438399,0.037930893,0,0,0.095841672,0,0.042408482,0.074691564,0.093386679,0.078328274,0.190095048,0,0,0.028011204,0,0.232907171,0.025803016,3
4687,439289257,0,0.292275574,0.321428571,0.765625,0.03,0.024143202,0,0,0,0,0.002666667,0.014396825,0,0,0.045977011,0.067470532,0.028899236,0.073008937,0,0,0,0,0.061068702,0.077738057,0.048780488,0.114070192,0.005376344,0.003818359,0.043478261,0.032571113,0,0,0,0,0,0,0.063657407,0.672414921,0.166666667,0.026441276,0.014217976,0.018490727,0.005455696,0.017525853,0,0,0.004023867,0,0,0.648874784,0,0.155722326,0.18831487,0,0,0.132977541,0.179004112,0.029805961,0.093447816,0,0,0.249624812,0,0.249291762,0.063396787,0.093327169,0,0.025812223,2
4821,419732300,0,0,0.079931973,0.734375,0.305,0.212003029,0.004376368,0.008093146,0,0,0.026666667,0.011375348,0,0,0,0,0.108023902,0.143267041,0.007874016,0.005237134,0,0,0.030534351,0.035554111,0.016260163,0.010907674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01754386,0.01653595,0.003475459,0.089696566,0,0.051269475,0,0,0.098860179,0.074614423,0,0.121636647,0.05135045,0,0,0,0,0,0,0,0,0,0.118954975,0.025813966,2
2326,569972169,0,0,0.008503401,0.078125,0.005,0.005700081,0.002188184,0.005250015,0,0,0,0,0.064898402,0.035231176,0.08045977,0.067606015,0.179092258,0.11669321,0.007874016,0.011673835,0.003424658,0.001291116,0,0,0,0,0.107526882,0.070421813,0,0,0.006688963,0.012396137,0.000476668,0.000575385,0,0,0,0,0.023809524,0.014281627,0,0,0,0,0.035087719,0.057798555,0.005700081,0.116372124,0,0,0.078219555,0.08916287,0.048569511,0.1663193,0.093066833,0,0,0.027485497,0,0.097434691,0.114312932,0,0,0,0.239695878,0,0.207893274,0.025826352,1
4795,1006760092,0.604166667,0.747390397,0.744897959,0.34375,0.12,0.109372991,0,0,0,0,0.008,0.006721506,0.01135722,0.008346004,0.034482759,0.025741769,0.10162775,0.140331943,0.015748031,0.004681237,0,0,0.030534351,0.069938252,0.008130081,0.033962531,0,0,0,0,0.020254181,0.045362677,0.013823374,0.023763402,0.022213109,0.055542654,0.005787037,0.114456387,0,0,0.073755749,0.129805644,0.012658228,0.006758589,0.061403509,0.031796932,0.004557208,0,0,0.100980958,0.105883614,0.079216177,0.10292934,0.033347228,0,0.239270625,0.319773258,0,0,0.117752471,0.162797382,0.337807458,0.441538462,0.466770393,0,0.015511801,0.065353768,0.025878113,3
1313,935504407,0,0.503131524,0.462585034,0.484375,0.005,0.005557222,0.083150985,0.23721343,0.384615385,0.298938824,0,0,0,0,0,0,0.045483748,0.046079735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005557222,0.138370685,0.037812372,0,0,0,0.075517688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025912506,4
