CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,net_sales,avg,Cluster,,
396229585,0,0,33,33,4,8.92,0,0,0,0,0,0,0.75,3.93,12,8.99,6.25,59.58,0,0,0,0,0,0,0,0,0,0,4,5.96,2,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,0,0,0,5.24,0.749166667,9.5328,0,0,0,0,0,1.49,6.45,0,0,0,0,0,0,0,100.28,4.775238095,5,,
397673237,0,264,277,13,4,10.86,0,0,0,0,0,0,0.75,4.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888,8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.715,0,0,0,5.986666667,0,0,0,0,0,0,0,0,10.07882883,0,0,0,0,0,0,0,24.3,1.157142857,5,,
402650956,0,0,46,46,9.875,16.26,0,0,0,0,0,0,3.125,7.72,0,0,7.125,22.03,0,0,0,0,0,0,0,0,0,0,0,0,6.556,42.16,3.5,17.46,5.25,38.64,4,22.76,0,0,0.625,9.37,0,0,0,0,1.646582279,0,0,0,2.4704,0,3.091929825,0,0,0,0,0,0,6.430750458,4.988571429,14.992,7.36,5.69,0,0,0,176.4,8.4,5,,
410203178,0,0,5,5,3,29.77,80,27.57,0,0,0,0,17,86.12,2,2.49,26,150.29,1,7.99,0,0,12,26.69,9,16.91,0,0,7,17.83,0,0,1.5,6.25,6,17.96,0,0,2,3.97,0,0,0,0,0,0,9.923333333,0.344625,0,0,5.065882353,1.245,5.780384615,7.99,0,2.224166667,1.878888889,0,2.547142857,0,4.166666667,0,2.993333333,0,1.985,0,0,393.84,18.75428571,5,,
411326382,0,0,51,51,9,13.23,21,15.44,0,0,1,2.99,8.75,47.44,2,4.05,23.124,120.04,0,0,2,4.78,0,0,2,3.98,0,0,0,0,5,37.4,24.875,140.23,0,0,2,12.38,0,0,0.5,4.5,0,0,13,7.57,1.47,0.735238095,0,2.99,5.421714286,2.025,5.191143401,0,2.39,0,1.99,0,0,7.48,5.637386935,9,0,6.19,0,0,0.582307692,414.03,19.71571429,5,,
414531715,0,0,29,29,1,2.95,0,0,0,0,0,0,4.472,37.03,0,0,2,18.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.59,0,0,2.95,0,0,0,8.280411449,0,9.415,0,0,0,0,0,0,0,0,0,0,0,0,15.59,0,74.4,3.542857143,5,,
415103886,0,0,37,37,0,0,0,0,0,0,0,0,0,0,4,8.02,25,104.88,1,2.39,1,1.24,0,0,3,18.67,0,0,0,0,0,0,10.278,34.49,0,0,0,0,0,0,0,0,0,0,2,6.78,0,0,0,0,0,2.005,4.1952,2.39,1.24,0,6.223333333,0,0,0,3.355711228,0,0,0,0,0,3.39,176.47,8.403333333,5,,
415792324,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,3,9.87,0,0,2,4.48,0,0,0,0,21,54.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.99,0,0,0,0,0,0,3.29,0,2.24,0,0,2.59,0,0,0,0,0,0,0,0,4.99,73.73,3.510952381,5,,
415846344,0,0,24,24,1,3.59,0,0,0,0,0,0,0,0,0,0,3,8.59,1,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0,2.863333333,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0.750952381,5,,
416982718,0,0,40,40,0,0,2,1.5,0,0,0,0,0,0,1,5.62,7,43.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,0,0,0,0.75,0,0,0,5.62,6.205714286,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,52.06,2.479047619,5,,
417012903,0,454,485,31,11,57.19,8,34.93,0,0,13,65.93,1.75,9.91,1,0.97,9,40.42,0,0,0,0,0,0,1,5.39,1,5,0,0,1.111,1.38,3.125,19.87,0,0,0,0,3,35.35,0,0,0,0,0,0,5.199090909,4.36625,0,5.071538462,5.662857143,0.97,4.491111111,0,0,0,5.39,5,0,1.242124212,6.3584,0,0,0,11.78333333,0,0,276.34,13.15904762,5,,
