CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,net_sales,avg,Cluster
1003678735,0,35,38,3,6,39.95,0,0,0,0,0,0,5.778,31.99,0,0,8,30.13,0,0,0,0,0,0,0,0,0,0,0,0,5,20.4,0,0,0,0,6,15.48,0,0,0,0,0,0,1,1.99,6.658333333,0,0,0,5.536517826,0,3.76625,0,0,0,0,0,0,4.08,0,0,0,2.58,0,0,1.99,139.94,6.663809524,2
1003910971,0,388,388,0,9,41.91,0,0,0,0,0,0,36.875,115.27,1,1.37,13,42.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33.38,0,0,0,0,2,14.01,0,0,4.656666667,0,0,0,3.125966102,1.37,3.273076923,0,0,0,0,0,0,0,0,0,0,6.676,0,7.005,0,248.49,11.83285714,2
1004133243,0,0,26,26,2.5,11.83,0,0,0,0,0,0,7.75,63.87,2,2.78,40.25,132.86,1,2.39,3,7.72,2,3.98,0,0,0,0,1,2.09,20,35.88,2.5,14.49,6,21.56,0,0,0,0,0,0,2,16.48,9,35.81,4.732,0,0,0,8.241290323,1.39,3.300869565,2.39,2.573333333,1.99,0,0,2.09,1.794,5.796,0,3.593333333,0,0,8.24,3.978888889,351.74,16.74952381,2
1004394407,0,0,6,6,4,11.76,0,0,0,0,2,5.98,0,0,0,0,0,0,0,0,0,0,1,1.29,0,0,0,0,0,0,2,11.18,0.722,2.88,0,0,0,0,0,0,0,0,0,0,0,0,2.94,0,0,2.99,0,0,0,0,0,1.29,0,0,0,5.59,3.988919668,0,0,0,0,0,0,33.09,1.575714286,2
1005124746,0,68,73,5,5,19.45,0,0,0,0,0,0,0,0,0,0,6,34.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,5.773333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.09,2.575714286,2
1005381445,0,356,356,0,3,13.23,1,0.97,0,0,0,0,3,11.49,0,0,28,48.76,1,7.49,0,0,7,6.59,2,1.87,0,0,27,62.78,0,0,0,0,0,0,0,0,0,0,0.25,2.12,0,0,0,0,4.41,0.97,0,0,3.83,0,1.741428571,7.49,0,0.941428571,0.935,0,2.325185185,0,0,8.48,0,0,0,0,0,155.3,7.395238095,2
1005434772,0,361,361,0,23,103.78,0,0,0,0,0,0,2,20.53,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,28.48,0,0,0,0,0,0,0,0,4.512173913,0,0,0,10.265,0.8,0,0,0,0,0,0,0,0,0,0,0,14.24,0,0,0,156.79,7.466190476,2
1006478307,0,2,28,26,10,37.3,0,0,0,0,152,709.28,4,4.96,6,27.37,8,69.77,1,1,0,0,3,2.29,0,0,0,0,0,0,0,0,0,0,4,12.57,0,0,42,419.42,0,0,6,39.54,7,38.99,3.73,0,0,4.66631579,1.24,4.561666667,8.72125,1,0,0.763333333,0,0,0,0,0,0,3.1425,0,9.986190476,6.59,5.57,1362.49,64.88047619,2
1006504284,0,355,355,0,1,0.99,0,0,0,0,0,0,2,15.38,0,0,1,2.99,0,0,0,0,1,0.49,10,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32.97,0.99,0,0,0,7.69,0,2.99,0,0,0.49,0.968,0,0,0,0,0,0,0,0,0,10.99,62.5,2.976190476,2
1007047036,0,348,348,0,4,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23.96,0,0,0,0,2.4925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.792,0,0,0,0,0,33.93,1.615714286,2
