CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_ns,paper_ns,pct_ns,needle_ns,quilt_ns,impulse_ns,other_ns,kids_ns,jewelry_ns,ribbon_ns,paint_ns,seasfloral_ns,celeb_ns,fabric_ns,fleece_ns,warm_ns,homedec_ns,public_ns,special_ns,foam_ns,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,sew_qty,paper_qty,pct_qty,needle_qty,quilt_qty,impulse_qty,other_qty,kids_qty,jewelry_qty,ribbon_qty,paint_qty,seasfloral_qty,celeb_qty,fabric_qty,fleece_qty,warm_qty,homedec_qty,public_qty,special_qty,foam_qty,bccomp_qty,products_bought,product_share
904077633,18,435,455,2,0,38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,0,0,0,0,0,6.433333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,2,0.095238095
904189305,18,194,233,21,32.08,0,0,0,3.49,0,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.04,0,0,0,3.49,0,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.142857143
904189966,0,448,459,11,0,0,0,0,31.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.49333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.047619048
905257317,0,73,73,0,0,0,0,0,0,4,27.95,0,0,0,0,11.88,0,0,0,0,14.8,8.97,0,3.89,0,0,0,0,0,0,1,5.59,0,0,0,0,0.99,0,0,0,0,0,8.736717828,8.97,3.89,0,0,0,0,0,0,4,5,0,0,0,0,12,0,0,0,0,1.694,1,0,1,0,6,0.285714286
905287124,0,8,8,0,3.17,0,0,0,23.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17,0,0,0,7.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.095238095
905748448,0,74,89,15,0,0,0,3.57,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.095238095
906885330,0,1,45,44,1.19,2.09,36.72,2.39,0,3.18,15.4,0,112.81,2.49,0,0,17.13,0,0,0,0,0,0,0,0.69,1.19,0.19,12.24,2.39,0,1.59,3.08,0,2.892564103,0.83,0,0,2.14125,0,0,0,0,0,0,0,0.23,1,11,3,1,0,2,5,0,39,3,0,0,8,0,0,0,0,0,0,0,3,10,0.476190476
906961024,0,7,18,11,2.69,0,0,0,13.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.095238095
907240444,0,442,461,19,3.43,0,0,0,0,0,4.73,7.34,0,0,0,0,0,0,0,0,0,0,0,0,2.99,1.715,0,0,0,0,0,4.253597122,3.67,0,0,0,0,0,0,0,0,0,0,0,0,2.99,2,0,0,0,0,0,1.112,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.19047619
908187669,0,437,443,6,0,0,0,0,0,0,25.35,0,11.94,18.86,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16875,0,1.99,3.143333333,10.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,6,1,0,0,0,0,0,0,0,0,0,0,4,0.19047619
909503211,0,0,0,0,5.7,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.095238095
909783763,0,0,21,21,0,7.68,0,1.88,0,0,8.17,0,0,0,0,6.7,0,0,51.19,0,0,0,0,0,12.85,0,0.853333333,0,0.47,0,0,2.723333333,0,0,0,0,3.35,0,0,4.584452803,0,0,0,0,0,2.57,0,9,0,4,0,0,3,0,0,0,0,2,0,0,11.166,0,0,0,0,0,5,6,0.285714286
909846230,0,309,332,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.74,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.095238095
910076272,0,9,13,4,8.99,0,0,0,22.47,0,0,0,4.78,0,0,0,0,0,0,0,11.98,0,0,0,0,8.99,0,0,0,9.089805825,0,0,0,2.39,0,0,0,0,0,0,0,0,5.99,0,0,0,1,0,0,0,2.472,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,4,0.19047619
910345966,18,449,505,38,24.65,5.9,0,40.66,0,5.49,9.26,38.48,0,3.49,49.65,0,0,0,0,0,39.96,0,0,14.24,1.34,2.240909091,5.9,0,5.808571429,0,1.83,2.315,9.62,0,3.49,2.613157895,0,0,0,0,0,0,8.88,0,9.493333333,0.67,11,1,0,7,0,3,4,4,0,1,19,0,0,0,0,0,4.5,0,0,1.5,2,11,0.523809524
910546449,0,373,373,0,0,0,0,0,0,3.75,0,0,0,0,0,0,6.05,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,2.016666667,0,6.368,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,1.25,0,0,0,0,0,0,3,0.142857143
910851336,18,223,268,27,3.5,0,0,0,0,19.17,235.66,0,0,17.75,15.99,98.55,0,0,0,0,52.13,9.99,0,0,7.42,3.5,0,0,0,0,1.369285714,5.747804878,0,0,3.55,15.99,3.285,0,0,0,0,0,17.06382979,9.99,0,1.855,1,0,0,0,0,14,41,0,0,5,1,30,0,0,0,0,3.055,1,0,0,4,9,0.428571429
912134152,18,184,205,3,0,0,0,0,0,1.79,0,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.095238095
912321437,0,414,436,22,0,0,0,0,0,0,70.58,0,0,0,0,0,0,0,54.64,0,0,0,0,0,3,0,0,0,0,0,0,12.96235078,0,0,0,0,0,0,0,5.231211106,0,0,0,0,0,3,0,0,0,0,0,0,5.445,0,0,0,0,0,0,0,10.445,0,0,0,0,0,1,3,0.142857143
912485372,0,0,6,6,0,0,0,0,0,2.39,17.97,5.99,0,0,3.37,0,0,0,0,0,0,0,0,0,4.78,0,0,0,0,0,2.39,5.99,2.995,0,0,1.123333333,0,0,0,0,0,0,0,0,0,2.39,0,0,0,0,0,1,3,2,0,0,3,0,0,0,0,0,0,0,0,0,2,5,0.238095238
912541661,0,129,140,11,39.45,0,0,0,7.5,0,21.98,0,0,0,0,0,0,0,4,0,0,0,0,19.16,0,7.89,0,0,0,7.5,0,4.396,0,0,0,0,0,0,0,4,0,0,0,0,3.832,0,5,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,5,0,5,0.238095238
912922291,0,38,38,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0.095238095
913117917,0,429,431,2,2.37,3.39,0,0,0,2,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0.79,0.565,0,0,0,1,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0.19047619
913302055,0,0,1,1,0,0,0,0,0,0,4.99,0,0,0,0,18.98,0,0,0,0,27.96,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,9.49,0,0,0,0,0,6.99,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,4,0,0,0,0,3,0.142857143
