CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty
0836163691,0,460,481,21,1,1.79,1,2.39,6,42.77,0,0,0,0,6,9.32,18,81.39,3,16.32,5,36.1,3,4.42,0,0,0,0,15,89.57,0,0,0,0,0,0,0,0,4,46.38,0,0,0,0,10,48.11,1.79,2.39,7.1283333333,0,0,1.5533333333,4.5216666667,5.44,7.22,1.4733333333,0,0,5.9713333333,0,0,0,0,0,11.595,0,4.811
0841312028,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,23,63.97,0,0,0,0,0,0,0,0,13,20.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7813043478,0,0,0,0,1.6038461538,0,0,0,0,0,0,0,0,0
0841664220,0,211,252,41,1,3.29,4,7.32,0,0,0,0,0,0,4,5.5,15,53.15,0,0,0,0,4,11.66,0,0,1,1.99,2,2.98,0,0,0,0,1.472,12.8,9.5,117.18,0,0,0,0,4.5,62.26,2,3.24,3.29,1.83,0,0,0,1.375,3.5433333333,0,0,2.915,0,1.99,1.49,0,0,0,8.6956521739,12.334736842,0,13.835555556,1.62
0842526915,0,430,454,24,0,0,0,0,0,0,0,0,0,0,1,0.75,7,22.34,2,0.76,0,0,4,7.51,12,12.22,0,0,12,32.33,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,18,20.24,0,0,0,0,0,0.75,3.1914285714,0.38,0,1.8775,1.0183333333,0,2.6941666667,0,0,0,0,0,0.75,0,1.1244444444
0842602609,0,448,489,41,0,0,96,186.84,2,11.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.19,0,1.94625,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19
0843699919,96,0,96,0,2,2.19,0,8.881784E-16,0,0,0,0,1.999,7.06,0,0,6.806,18.98,0,0,0,0,9,17.59,0,0,2,2.08,0,0,0.583,3.54,0,0,0.333,0.85,0,0,0,0,0.417,0.31,0,0,0,0,1.095,0,0,0,3.5317658829,0,2.788715839,0,0,1.9544444444,0,1.04,0,6.0720411664,0,0.7434052758,2.5525525526,0,0,0,0
0845822386,0,0,58,58,123.75,362.57,0,0,0,0,0,0,15.306,45.93,0,0,76.222,258.63,2,3.38,0,0,2,5.12,1,6.79,0,0,0,0,27.472,116.1,14.806,88.19,0,0,17.875,207.26,0,0,44.819,259.87,1,2.54,24,72.48,2.9298585859,0,0,0,3.0007840063,0,3.3931148487,1.69,0,2.56,6.79,0,0,4.2261211415,5.9563690396,5.7982105803,0,11.594965035,0,2.54,3.02
0846290070,0,0,0,0,1,1.37,2,0.2,0,0,0,0,0,0,0,0,0.75,3.74,0,0,0,0,1,0.5,1,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,1,3.49,1.37,0.1,0,0,0,0,4.9866666667,0,0,0.5,3.59,0,0,0,0,0.7,0,0,0,0,3.49
0846417152,0,124,179,55,0,0,7,5.93,2,36.1,0,0,0,0,2,1.69,0,0,14,11.3,0,0,0,0,81,282.37,0,0,14,30.36,0,0,0.5,2.36,0,0,0,0,0,0,0,0,0,0,6,15.26,0,0.8471428571,18.05,0,0,0.845,0,0.8071428571,0,0,3.4860493827,0,2.1685714286,0,4.72,0,0,0,0,0,2.5433333333
0846710713,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4944444444,0,0,0
0846896124,0,414,417,3,3,7.77,11,6.49,1,9.99,0,0,0,0,2,4.78,16,86,5,11.95,0,0,0,0,6,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59,0.59,9.99,0,0,2.39,5.375,2.39,0,0,1.49,0,0,0,0,0,0,0,0,0,0
0846923910,0,0,34,34,12,156.16,0,0,0,0,9,26.86,0.111,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.06,2,5.4,0,0,6.556,59.96,0,0,13.013333333,0,0,2.9844444444,8.018018018,0,0,0,0,0,0,0,0,0,0,0,0,8.03,2.7,9.1458206223,0
0850063264,0,446,467,21,9,32.49,0,0,0,0,15,24.42,19.083,65.66,5,5.92,9,60.79,0,0,1,1.19,3,9.47,1,0.69,0,0,0,0,4.25,17.06,0.25,1.25,0,0,2.22,28.88,0,0,1.11,0.74,1,4.99,0,0,3.61,0,0,1.628,3.4407587905,1.184,6.7544444444,0,1.19,3.1566666667,0.69,0,0,4.0141176471,5,0.6666666667,0,13.009009009,0,4.99,0
0852190396,0,450,486,36,7,14.99,0,0,0,0,0,0,10,69.9,1,0.5,4,63.96,0,0,2,11.98,0,0,1,18.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.583,8.32,0,0,5,6.95,2.1414285714,0,0,0,6.99,0.5,15.99,0,5.99,0,18.74,0,0,0,0,1.4902382232,0,0,0,0,1.39
0855400644,0,0,2,2,4,34.78,1,14.99,0,0,3,8.97,1,1.99,5,24.25,63,236.2,2,10.98,1,2.39,0,0,28,170.44,0,0,0,0,0,0,0,0,0,0,7,139.93,0,0,0.25,2.25,0,0,21,105.34,8.695,14.99,0,2.99,1.99,4.85,3.7492063492,5.49,2.39,0,6.0871428571,0,0,0,0,9,0,19.99,0,0,5.0161904762
0855445987,0,127,149,22,8,15.4,0,0,0,0,0,0,6,22.76,2,3.98,1,1,4,9.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.925,0,0,0,3.7933333333,1.99,1,2.4275,0,0,0,0,0,0,0,0,0,0,0,0,0
0861224988,0,443,484,41,18,83.31,0,0,0,0,0,0,0,0,2,2,3,35.98,0,0,0,0,1,2.97,3,5.37,0,0,0,0,1.778,15.09,0,0,0,0,0,0,0,0,5.334,24.64,0,0,1,1.79,4.6283333333,0,0,0,0,1,11.993333333,0,0,2.97,1.79,0,0,8.487064117,0,4.6194225722,0,0,0,0,1.79
0862348984,0,0,3,3,13,49.13,9,27.01,0,0,0,0,1,7.99,2,5.48,17,164.33,0,0,1,0.97,5,9.95,0,0,0,0,0,0,0.5,0.25,4,21.96,0,0,0,0,1,14.99,5,50.95,0,0,0,0,3.7792307692,3.0011111111,0,0,7.99,2.74,9.6664705882,0,0.97,1.99,0,0,0,0.5,5.49,10.19,0,0,14.99,0,0
0862872561,0,168,168,0,12,60.83,0,0,0,0,0,0,2,7.98,2,1,8,48.72,0,0,5,10.25,15,28.85,0,0,0,0,0,0,2,19.98,0,0,0,0,1,9,0,0,0,0,0,0,3,10.47,5.0691666667,0,0,0,3.99,0.5,6.09,0,2.05,1.9233333333,0,0,0,9.99,0,0,0,9,0,0,3.49
0863651634,19,0,19,0,1,1.09,6,26.38,0,0,0,0,3,4.64,1,2.49,16,149.84,0,0,0,0,0,0,4,11.23,0,0,0,0,0.875,6.36,0,0,1,5.27,1,1.99,0,0,0,0,0,0,1,5.99,1.09,4.3966666667,0,0,1.5466666667,2.49,9.365,0,0,0,2.8075,0,0,7.2685714286,0,0,5.27,1.99,0,0,5.99
0863836839,96,0,96,0,5,27.46,0,0,0,0,0,0,0,0,10,26.58,11,53.78,0,0,0,0,3,10.77,2,5.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.417,88.3,0,0,0,0,5.492,0,0,0,0,2.658,4.8890909091,0,0,3.59,2.74,0,0,0,0,1.2364002968,0,0,0,0,0
0863902193,96,0,96,0,19,61.72,2,0.4,2,29.98,3,7.93,87.416,361.12,10,12.21,40.611,114.42,4,13.04,0,0,0,0,9,23.2,0,0,3,7.6,42.015,99.49,3.625,15.17,8.472,36.06,0,0,4,41.64,1.5,5.1,12,142.02,1,13.49,3.2484210526,0.2,14.99,2.6433333333,4.1310515237,1.221,2.8174632489,3.26,0,0,2.5777777778,0,2.5333333333,2.3679638224,4.1848275862,3.4,4.2563739377,0,10.41,11.835,13.49
0863952933,96,0,96,0,17,50.57,0,0,0,0,0,0,0,0,4,4.77,6,45.94,0,0,0,0,0,0,0,0,0,0,0,0,13.25,95.29,0,0,0,0,0,0,0,0,2,11.34,0,0,0,0,2.9747058824,0,0,0,0,1.1925,7.6566666667,0,0,0,0,0,0,7.1916981132,0,5.67,0,0,0,0,0
0864026752,18,0,18,0,0,0,16,45.23,0,0,0,0,0,0,2,2.11,0,0,0,0,0,0,2,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.826875,0,0,0,1.055,0,0,0,2.615,0,0,0,0,0,0,0,0,0,0,0
0864221791,95,0,95,0,36,110.47,4,1.72,0,0,57,165.12,28.111,83.47,4,5.64,41.404,141.51,0,0,0,0,10,22.16,6,36.12,0,0,0,0,12.347,93.87,2.25,10.67,8.128,31.56,10.709,65.86,0,0,0.666,7.69,1,8.99,64,41.2,3.0686111111,0.43,0,2.8968421053,2.9693002739,1.41,3.4177857212,0,0,2.216,6.02,0,0,7.6026565158,4.7422222222,11.546546547,3.8828740157,6.1499673172,0,8.99,0.64375
0864458815,0,442,453,11,11,25.8,34,36.37,3,10.77,0,0,22.319,86.89,1,1,3.5,18.86,2,4.48,0,0,1,0.97,3,3.97,13,38.67,1,2,7.083,45.9,0,0,11.694,55.64,2,15.98,0,0,0,0,0,0,5,8.2,2.3454545455,1.0697058824,3.59,0,3.8930955688,1,5.3885714286,2.24,0,0.97,1.3233333333,2.9746153846,2,6.4803049555,0,0,4.7579955533,7.99,0,0,1.64
0866689128,0,127,166,39,7,51.76,0,0,0,0,0,0,1,2.24,5,14.35,17.333,63.42,0,0,0,0,0,0,0,0,0,0,0,0,2.5,8.74,0.5,3.82,0,0,14,166.18,0,0,0,0,5.75,34.86,0,0,7.3942857143,0,0,0,2.24,2.87,3.6589165176,0,0,0,0,0,0,3.496,7.64,0,0,11.87,0,6.0626086957,0
